注：每行第一个词为母词，后续为扩充词
不合时宜 不合适宜 合时宜 不适时宜 煞风景 不识时务 不伦不类 不得体 不太合适 荒唐 杀风景
推测 推断 猜想 推断出 猜测 推算 推论 断定 大胆推测 大胆猜测 初步推断
提前 提早 提前准备 时间提前 事先 提前一天 准备 做足准备 之前 提前做好准备 做好准备
挥发 挥发掉 自然挥发 完全挥发 易挥发 酒精挥发 不易挥发 挥发速度 挥发性 挥发快 挥发作用
抚育 养育 哺养 抚养 扶育 抚育孩子 养育儿女 养育子女 育养 照料 养大
担保 抵押 提供担保 担保人 被担保人 作保 信誉担保 资产抵押 抵押品 银行担保 保证担保
搁置 束之高阁 放一放 暂搁 先搁 提上 作罢 一拖再拖 暂且 搁下 一搁
改变 发生改变 改变自己 彻底改变 方式改变 被改变 可以改变 需要改变 能改变 转变
敏感性 敏感度 高度敏感 高敏感性 敏感性高 不敏感 敏感程度 敏感 不太敏感 非常敏感 耐受性
数量 其数量 总数量 总体数量 总数 数量方面 数量不 数量和质量 数目 数量增加 总量
明显 较为明显 比较明显 非常明显 十分明显 更为明显 显著 较明显 不明显 很明显 出现明显
暴露 曝露 爆露 暴漏 暴露出 暴露无遗 显露 不暴露 暴露过多 隐藏 弱点暴露
有些 有点 些 一些 有的 很多 但 但是 有点儿 很 有一点
有时 有时候 常常 有些时候 偶尔 往往 有的 时常 甚至 大多数时候 经常
期待 期待…… 期待吧 很期待 期盼 期待未来 无比期待 非常期待 期望 希望 充满期待
期望 期许 希望 期盼 期望值 寄予 过高的期望 期待 不切实际的期望 抱有 高期望
未定 还未定 已定 尚未确定 待定 尚未可知 初定 难定 未确定 暂未确定 尚在
未知 一切未知 不可知 未知的世界 未知世界 未知领域 未知的未来 不确定 末知 未知事物 未知地 
未经 非经 许可 书面 擅自 须经 不经 授权 并经 需经 末经
根据 跟据 依据 按照 根据上述 可以根据 根据实际 依照 实际情况 很据 参照
条件 基本条件 前提条件 两个条件 三个条件 条件一 外部条件 其他条件 全部条件 客观条件 条件满足
概率 机率 几率 可能性 概率事件 出现概率 慨率 小概率 概率比 成功概率 概率性
波动 波动幅度 大波动 振荡 变动 急剧波动 大幅波动 上下波动 震荡 波动的幅度 波动规律
清楚 很清楚 明白 非常清楚 不清楚 知道 弄清楚 比较清楚 搞清楚 清楚明白 更清楚
涨跌 跌涨 价格涨跌 市场走势 涨涨跌跌 行情走势 小跌 下跌 大盘涨跌 股市涨跌 大盘指数
澄清 澄清谣言 发声明 辟谣 公开回应 澄清事实 公开说明 主动澄清 澄清说明 出面澄清 撇清
无形 看不见的 无形的力量 有形 无质 无形之力 无形之物 看不见的力量 形的 无形无影 道无
无限期 无期限 延期 推迟 提前结束 搁置 不限期 推延 遥遥无期 延后 一拖再拖
猜测 猜想 有猜测 推测 揣测 大胆猜测 传言 传闻 怀疑 众说纷纭 推断
相信 我相信 想必 相信你 肯定 都知道 知道 一定会 大家 当然 相信我们
相关性 相关关系 具有相关性 正相关 关联性 负相关 相关程度 正相关性 相关度 正相关关系 关联度
稳定性 稳定度 稳定性能 稳定程度 可控性 不稳定性 均衡性 灵活性 安全性 安全性和稳定性 平稳性
突然 忽然 突然间 突然地 这时 俄然 突然之间 一下子 毫无征兆 突然有一天 瞬间
精确 精确地 准确 非常精确 精准 精度 准确地 精确性 精确度 精确计算 更精确
考虑 需要考虑 考虑到 考量 会考虑 综合考虑 不考虑 考虑的因素 主要考虑 认真考虑 考虑的问题
表明 说明 证明 证实 分析表明 充分说明 显示 显示出 暗示 由此看来 充分证明
复审 初审 复审结果 复核 复审中 复评 申报材料 最终审核 现场审查 核审 复审申请
复查 复查结果 复查情况 检查结果 第一次复查 第三次复查 定期复查 门诊复查 复检 随访复查 第一次检查
观测 观测到 观测数据 望远镜观测 天文观测 观测仪器 连续观测 观测结果 观测目标 观测时间 长期观测
解读 深入解读 阐释 详细解读 剖析 阐述 深度解析 解析 解读分析 探讨 深度剖析
解释 作出解释 做出解释 补充解释 表述 说法 详细解释 说 理解 回答 解释原因
计算 计算方法 可计算 计算出来 计算方式 数据计算 估算 公式计算 具体计算 计算公式 简单计算
评估 评估结果 作出评估 综合评估 全面评估 整体评估 系统评估 评估分析 客观评估 评估内容 评估方法
诠释 完美诠释 演绎 完美演绎 阐释 演绎出 完美表达 理念诠释 诠释者 演译 诠译
认为 指出 甚至认为 看来 事实上 可能 表示 因此 观点 对此 觉得
谣言 谣传 辟谣 虚假消息 造谣 假消息 网络谣言 流言 传播谣言 传言 传谣
谨慎 谨慎小心 小心谨慎 慎重 更加谨慎 谨慎的态度 保守谨慎 审慎 小心 警惕 谨慎对待
证实 被证实 否认 表明 官方证实 直接证明 证明 现已证实 间接证明 推测 确凿
变动 发生变动 变化 波动 发生变化 大变动 调整变动 重大变化 巨大的变动 人事变化 变动频繁 
变化 改变 发生变化 变动 明显变化 显著变化 发生改变 变化中 巨大变化 大变化 新的变化
变幻莫测 变化莫测 变换莫测 变幻多端 变化多端 变幻无常 变化万千 千变万化 变幻无穷 诡谲多变 变化无常
变形 变型 弯曲变形 出现变形 挤压变形 扭曲变形 形变 明显变形 整体变形 开裂 变形严重
变数 不确定因素 确定因素 大变数 不可预测 不确定性 难以预料 变故 不确定性因素 不稳定因素 难料
近似 近似于 上近似 相近 相同 完全相同 完全一样 相似 类同 相近似 类似于
通常 一般 一般会 往往 一般来讲 一般而言 大多 大多数 一般说来 多数 这类
逼近 逐步逼近 直逼 接近 攀升 急速 步步逼近 大关 杀至 靠拢 冲至
重新 再次 从新 重新开始 再一次 新的 回到 之后 彻底 再度 重新进入
量化 可量化 数量化 可以量化 量化方法 数字量化 数据量化 量化分析 量化数据 定量化 量化计算
防范 提前防范 防范措施 加强防范 积极防范 注意防范 防范工作 提防 严加防范 及时防范 严密防范
陌生 很陌生 熟悉 很熟悉 不太熟悉 不熟悉 太熟悉 非常熟悉 并不陌生 熟悉的人 熟悉又陌生
随机 随机选择 完全随机 随机分配 随机地 随机位置 随机组合 随机选取 随机生成 全部随机 随机挑选
隐约 隐隐约约 隐隐 隐隐地 依稀 模模糊糊 若有若无 清晰地 若隐若现 隐约可见 朦朦胧胧
隐藏 掩藏 藏在 潜藏 深藏 影藏 完全隐藏 隐匿 暗藏 隐秘 藏着
难以预料 无法预料 难以预测 难料 不可预料 预料不到 无法预测 难以逆料 不可预测 意料不到 不可预知
零星 零零星星 零散 稀稀落落 零零散散 零零落落 间或 稀稀疏疏 偶有 稀稀拉拉 稀落
预估 估算 预测 预测数据 估测 预测值 预期 预估值 价格预估 测算 市场预测
预期 市场预期 市场的预期 超过预期 低于预期 投资者预期 一致预期 超预期 预期值 符合预期 增长预期
预计 预计今年 预计2017年 有望 2019年 将有 预计2015年 预计未来 仍将维持 届时 预计明年
预防 积极预防 防治 可以预防 预防和控制 及时预防 预防措施 提前预防 可预防 预防工作 预防及治疗
显然 很显然 很明显 毫无疑问 的确 恐怕 无疑 实际上 似乎 事实上 只不过
